Main Category,URL
Fresh Food,https://www.carrefouregypt.com/mafegy/en/white-eggs/mychoice-white-eggs-30p/p/305478
Fresh Food,https://www.carrefouregypt.com/mafegy/en/brown-eggs/mychoice-red-eggs-30p/p/305479
Fresh Food,https://www.carrefouregypt.com/mafegy/en/minced-meat/bal-beef-mince/p/31991
Fresh Food,https://www.carrefouregypt.com/mafegy/en/fish/frz-white-fish-fillet/p/333295
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/juhayna-full-cream-milk-1-5l/p/12719
Fresh Food,https://www.carrefouregypt.com/mafegy/en/frozen-beef/bal-beef-cubes-low-fat/p/426177
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/almarai-full-fat-milk-1-5l/p/509555
Fresh Food,https://www.carrefouregypt.com/mafegy/en/poultry-offals/chicken-legs-kg/p/31779
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/dina-farms-soft-white-cheese-450-g/p/581208
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/bekhero-full-cream-milk-pouch-1l/p/181144
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-fat-yogurt/juhayna-natural-yoghurt-105g-9-3/p/442823
Fresh Food,https://www.carrefouregypt.com/mafegy/en/cheddar-cheese/irish-cheddar-cheese/p/362884
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-fat-yogurt/almarai-natural-yoghurt-105g-9-3/p/468738
Fresh Food,https://www.carrefouregypt.com/mafegy/en/local-cheese/romy-batarekh-cheese/p/323520
Fresh Food,https://www.carrefouregypt.com/mafegy/en/local-cheese/shreeded-mozzarela/p/420316
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/almarai-full-cream-milk-1l-pet/p/512348
Fresh Food,https://www.carrefouregypt.com/mafegy/en/poultry-offals/chicken-breast-fillet-kg/p/31776
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/juhayna-mix-chocolate-milk-200m/p/12728
Fresh Food,https://www.carrefouregypt.com/mafegy/en/beef/halwani-plain-bf-lnchon/p/318616
Fresh Food,https://www.carrefouregypt.com/mafegy/en/chicken/chicken-brests-marinated-bone-in-kg/p/293065
Fresh Food,https://www.carrefouregypt.com/mafegy/en/frozen-beef/bal-beef-cubes/p/426174
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/balhana-full-cream-milk-450m/p/183994
Fresh Food,https://www.carrefouregypt.com/mafegy/en/mixed-butter/fern-mixed-butter-1k/p/195679
Fresh Food,https://www.carrefouregypt.com/mafegy/en/local-cheese/romy-extra-cheese/p/301140
Fresh Food,https://www.carrefouregypt.com/mafegy/en/mixed-butter/crystal-mixed-butter-1k/p/469285
Fresh Food,https://www.carrefouregypt.com/mafegy/en/egyptian-white-cheese/cheese-bramily-fresh/p/345956
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/domty-fullcream-milk-1litre/p/552883
